Batch Size per GPU: 1
Total trianing steps: 69600
TR, GPU ID : 1, ST: 27, BN: 27, loss : 2.476144552230835, lr : 0.00014000000000000001
TR, GPU ID : 2, ST: 27, BN: 27, loss : 1.0238579511642456, lr : 0.00014000000000000001
TR, GPU ID : 6, ST: 27, BN: 27, loss : 1.7612528800964355, lr : 0.00014000000000000001
TR, GPU ID : 0, ST: 27, BN: 27, loss : 1.0324211120605469, lr : 0.00014000000000000001
TR, GPU ID : 4, ST: 28, BN: 28, loss : 1.688140869140625, lr : 0.000145
TR, GPU ID : 5, ST: 28, BN: 28, loss : 2.1169919967651367, lr : 0.000145
TR, GPU ID : 3, ST: 28, BN: 28, loss : 1.1162536144256592, lr : 0.000145
TR, GPU ID : 1, ST: 28, BN: 28, loss : 2.735149383544922, lr : 0.000145
TR, GPU ID : 7, ST: 28, BN: 28, loss : 3.611724615097046, lr : 0.000145
TR, GPU ID : 2, ST: 28, BN: 28, loss : 2.943084478378296, lr : 0.000145
TR, GPU ID : 6, ST: 28, BN: 28, loss : 1.1191869974136353, lr : 0.000145
TR, GPU ID : 0, ST: 28, BN: 28, loss : 3.2901523113250732, lr : 0.000145
TR, GPU ID : 1, ST: 29, BN: 29, loss : 3.1650476455688477, lr : 0.00015
TR, GPU ID : 7, ST: 29, BN: 29, loss : 1.9870848655700684, lr : 0.00015
TR, GPU ID : 2, ST: 29, BN: 29, loss : 1.7326682806015015, lr : 0.00015
TR, GPU ID : 4, ST: 29, BN: 29, loss : 1.7342535257339478, lr : 0.00015
TR, GPU ID : 5, ST: 29, BN: 29, loss : 1.5810927152633667, lr : 0.00015
TR, GPU ID : 3, ST: 29, BN: 29, loss : 3.38996958732605, lr : 0.00015
TR, GPU ID : 6, ST: 29, BN: 29, loss : 2.6257483959198, lr : 0.00015
TR, GPU ID : 0, ST: 29, BN: 29, loss : 1.3762480020523071, lr : 0.00015
TR, GPU ID : 4, ST: 30, BN: 30, loss : 2.59812331199646, lr : 0.000155
TR, GPU ID : 7, ST: 30, BN: 30, loss : 2.222759246826172, lr : 0.000155
TR, GPU ID : 5, ST: 30, BN: 30, loss : 1.3467954397201538, lr : 0.000155
TR, GPU ID : 2, ST: 30, BN: 30, loss : 3.815284013748169, lr : 0.000155
TR, GPU ID : 3, ST: 30, BN: 30, loss : 2.9053375720977783, lr : 0.000155
TR, GPU ID : 1, ST: 30, BN: 30, loss : 2.431584358215332, lr : 0.000155
TR, GPU ID : 6, ST: 30, BN: 30, loss : 1.574346899986267, lr : 0.000155
TR, GPU ID : 0, ST: 30, BN: 30, loss : 1.7374502420425415, lr : 0.000155
TR, GPU ID : 4, ST: 31, BN: 31, loss : 1.9640264511108398, lr : 0.00016
TR, GPU ID : 7, ST: 31, BN: 31, loss : 2.272099733352661, lr : 0.00016
